Districts & Neigbourhoods,Type of region,Regioncode,Total population,Man,Woman,Population| Age group |0 tot 15 year,Population| Age group |15 tot 25 year,Population| Age group |25 tot 45 year,Population| Age group |45 tot 65 year,Population| Age group |65+ year,Births,Deaths,Total households,Single-person households,Households without children,Households with children,Average household size,Care|Young people receiving youth care,Healthcare|Wmo clients,ZIPcode,Year,children_0_15,youth_15_25,families_children,elderly_65_plus,single_households_ind,youth_care_users,wmo_users,youth_care_rate,wmo_rate,children_0_15_growth,youth_15_25_growth,elderly_65_plus_growth,families_children_growth,single_households_ind_growth
AMC,Neighbourhood,BU03639205,35.0,25.0,5.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,20.0,1105.0,2020,0.0,0.0,0.0,0.0,5.0,0.0,20.0,0.0,571.4285714285714,,,,,
AMC,Neighbourhood,BU03639205,30.0,25.0,5.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,25.0,30.0,0.0,0.0,1.0,0.0,0.0,1105.0,2021,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,,,,5.0
AMC,Neighbourhood,BU03639205,30.0,20.0,5.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,1.0,0.0,10.0,1105.0,2022,0.0,0.0,0.0,0.0,30.0,0.0,10.0,0.0,333.3333333333333,,,,,0.0
AMC,Neighbourhood,BU0363TA06,30.0,25.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,1.0,0.0,10.0,1105.0,2023,0.0,0.0,0.0,0.0,30.0,0.0,10.0,0.0,333.3333333333333,,,,,0.0
AMC,Neighbourhood,BU0363TA06,35.0,25.0,10.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,1.0,0.0,0.0,1105.0,2024,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,,,,,0.16666666666666674
AMC,Neighbourhood,BU03639205,30.0,25.0,5.0,0.0,0.0,10.0,20.0,0.0,0.0,0.0,25.0,30.0,0.0,0.0,1.0,0.0,0.0,1105.0,2025,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,,,,-0.1428571428571429
Aalsmeerwegbuurt Oost,Neighbourhood,BU03634403,2210.0,1065.0,1145.0,245.0,205.0,1025.0,525.0,215.0,30.0,5.0,1335.0,740.0,350.0,255.0,1.7,25.0,100.0,1059.0,2020,245.0,205.0,255.0,215.0,740.0,25.0,100.0,11.312217194570135,45.24886877828054,,,,,
Aalsmeerwegbuurt Oost,Neighbourhood,BU03634403,2165.0,1025.0,1135.0,220.0,195.0,1000.0,535.0,215.0,35.0,10.0,1300.0,690.0,370.0,245.0,1.7,30.0,95.0,1059.0,2021,220.0,195.0,245.0,215.0,690.0,30.0,95.0,13.856812933025404,43.87990762124711,-0.10204081632653061,-0.04878048780487809,0.0,-0.039215686274509776,-0.06756756756756754
Aalsmeerwegbuurt Oost,Neighbourhood,BU03634403,2165.0,1050.0,1120.0,210.0,195.0,1015.0,525.0,225.0,40.0,10.0,1295.0,670.0,385.0,240.0,1.7,35.0,100.0,1059.0,2022,210.0,195.0,240.0,225.0,670.0,35.0,100.0,16.166281755196305,46.18937644341801,-0.045454545454545414,0.0,0.04651162790697683,-0.020408163265306145,-0.02898550724637683
Aalsmeerwegbuurt Oost,Neighbourhood,BU03634403,2165.0,1025.0,1135.0,220.0,195.0,1000.0,535.0,215.0,35.0,10.0,1300.0,690.0,370.0,245.0,1.7,30.0,95.0,1059.0,2025,220.0,195.0,245.0,215.0,690.0,30.0,95.0,13.856812933025404,43.87990762124711,0.04761904761904767,0.0,-0.0444444444444444,0.02083333333333326,0.029850746268656803
Aalsmeerwegbuurt West,Neighbourhood,BU03634402,2535.0,1155.0,1385.0,275.0,205.0,1370.0,500.0,180.0,55.0,5.0,1510.0,780.0,465.0,265.0,1.7,20.0,105.0,1059.0,2020,275.0,205.0,265.0,180.0,780.0,20.0,105.0,7.889546351084813,41.42011834319527,,,,,
Aalsmeerwegbuurt West,Neighbourhood,BU03634402,2525.0,1155.0,1370.0,275.0,215.0,1345.0,490.0,200.0,60.0,10.0,1480.0,745.0,485.0,260.0,1.7,30.0,100.0,1059.0,2021,275.0,215.0,260.0,200.0,745.0,30.0,100.0,11.881188118811881,39.603960396039604,0.0,0.04878048780487809,0.11111111111111116,-0.018867924528301883,-0.04487179487179482
